claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,16,1,,true,3,65.075097,0.684895,65.069314,65.693510,64.393111,65.762865,,3.921875,173.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,,0.245117,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,16,1,wrong_public_input,true,3,65.533258,0.974705,65.638398,66.369857,64.510245,66.451130,,3.753906,151.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,,0.234619,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,16,2,,true,3,68.471025,3.065694,69.018443,71.005364,65.168499,71.226133,10.000000,3.773438,168.000000,,2,transition_constraints,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/710/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.144889,0.235840,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,16,4,,true,3,67.350904,0.648801,67.628653,67.796000,66.609465,67.814594,10.000000,3.890625,180.000000,,2,transition_constraints,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/604/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/695/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.147866,0.243164,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,16,4,wrong_public_input,true,3,67.863158,1.238723,67.345304,69.083627,66.967397,69.276774,10.000000,4.027344,197.000000,,2,transition_constraints,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/627/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.148488,0.251709,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,64,1,,true,3,67.969184,1.145526,67.749301,69.062773,66.949538,69.208714,,3.957031,182.000000,,2,transition_constraints,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/586/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,,0.061829,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,64,1,wrong_public_input,true,3,66.439623,0.237712,66.415544,66.661167,66.214866,66.688458,,3.960938,180.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,,0.061890,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,64,2,,true,3,70.652890,0.918245,70.442394,71.536535,69.858169,71.658106,10.000000,4.210938,232.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.141960,0.065796,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,64,4,,true,3,70.807451,2.953145,72.476305,72.541138,67.397707,72.548342,10.000000,4.238281,241.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.137976,0.066223,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,controlled_kernel,winterfell-0.13.1-f128,default,{},adapter_process_wall,64,4,wrong_public_input,true,3,73.435928,3.273271,72.542662,76.611061,70.702018,77.063105,10.000000,4.292969,243.000000,,2,transition_constraints,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.137850,0.067078,,,,,,,measured,Winterfell transparent STARK pilot; matched vector only,measurement,true
