claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",adapter_process_wall,65536,16,,true,10,6467.661107,529.520583,6603.151982,7129.324026,5731.835158,7196.900562,80345.000000,736.845704,226911.500000,977,977.000000,,977.000000,977.000000,65536,plonk_domain_rows,7,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2063/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2081/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2099/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2153/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2171/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2189/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2225/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2243/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2261/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2279/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,12.167674,0.011243,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",adapter_process_wall,65536,16,wrong_public_input,true,3,6083.384704,462.737101,6256.381556,6416.866959,5559.073885,6434.698670,76480.000000,730.320312,225026.000000,977,977.000000,,977.000000,977.000000,65536,plonk_domain_rows,7,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2117/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2135/io'; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/2135/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2207/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,12.224318,0.011144,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",commitment,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",commitment,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",deserialize,65536,16,,true,10,5.095835,0.802095,4.804618,6.333059,4.256553,6.544871,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",deserialize,65536,16,wrong_public_input,true,3,4.758645,0.467786,4.693437,5.199395,4.326884,5.255613,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",fft_ntt,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",fft_ntt,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",invalid_reject,65536,16,wrong_public_input,true,3,6.781988,0.268962,6.686117,7.045787,6.574098,7.085750,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-plonk-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,e107d1c6ba323af7c89d0d7a24f42ff00372751cac1ce3b7fe1247faf2bfd87e,private_swap,jellyfish-turboplonk-0.8.0-bls12-381-kzg,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",key_load,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
